iter	MultiClass
0	1.294115251
1	1.215366888
2	1.152185536
3	1.098351926
4	1.052670599
5	1.011789237
6	0.9783057947
7	0.9464725863
8	0.9202778032
9	0.8968511714
10	0.8726420599
11	0.8526524251
12	0.8351408539
13	0.8190833439
14	0.8035272946
15	0.7893570242
16	0.7760644594
17	0.7631756433
18	0.7519395774
19	0.7408819786
20	0.7309494512
21	0.7218191675
22	0.7130795036
23	0.7045442076
24	0.6975052118
25	0.6909720391
26	0.6850297699
27	0.6801324964
28	0.6748784618
29	0.6703431723
30	0.6652992042
31	0.6613837181
32	0.6574769012
33	0.6535764299
34	0.6505810121
35	0.6466848758
36	0.6432926154
37	0.6396591149
38	0.6367060012
39	0.6332882687
40	0.6299096461
41	0.6261454768
42	0.6231596286
43	0.6211537666
44	0.6187494882
45	0.6169302121
46	0.6143547543
47	0.6118076515
48	0.6101395436
49	0.6090445043
50	0.6062321791
51	0.6052029249
52	0.6033442536
53	0.6019143905
54	0.600294695
55	0.5988555832
56	0.5979277719
57	0.5962462314
58	0.5941373696
59	0.5926604389
60	0.5913749607
61	0.5906844744
62	0.5883800015
63	0.5875811116
64	0.586706014
65	0.5855889207
66	0.5845229335
67	0.5841803469
68	0.5834364889
69	0.5819357449
70	0.5801718246
71	0.5790365086
72	0.5785330448
73	0.5777596104
74	0.5759066692
75	0.5738327703
76	0.5730646484
77	0.5721775599
78	0.5714814395
79	0.5699740069
80	0.5691856706
81	0.5679329356
82	0.5669757266
83	0.5659745396
84	0.5647518609
85	0.5631319106
86	0.5624690717
87	0.5606597337
88	0.5594390633
89	0.5583559244
90	0.5571526337
91	0.5562614149
92	0.5549091901
93	0.5537537353
94	0.5525477512
95	0.5514574243
96	0.551101615
97	0.5499325848
98	0.5489560738
99	0.5480027665
100	0.5473799185
101	0.5465665823
102	0.5456458255
103	0.5443229131
104	0.5422528123
105	0.5417354492
106	0.5412474132
107	0.540490255
108	0.5386978663
109	0.5377976128
110	0.5370834512
111	0.5367383572
112	0.5363751914
113	0.5352217812
114	0.5338150499
115	0.5315082464
116	0.5299720211
117	0.5297292741
118	0.5285411478
119	0.5279958062
120	0.5269102558
121	0.5256498433
122	0.5249816512
123	0.5241158615
124	0.5234073887
125	0.521930127
126	0.521585344
127	0.5197764214
128	0.5189043979
129	0.5174439216
130	0.5164091656
131	0.5155851482
132	0.5153037589
133	0.5147434926
134	0.5132115032
135	0.5123561654
136	0.5114745628
137	0.5110012362
138	0.5098531951
139	0.5089430076
140	0.5084237278
141	0.5078900015
142	0.5063030686
143	0.5052261208
144	0.5048982779
145	0.5036964041
146	0.503464192
147	0.5023782419
148	0.5007075524
149	0.5001130584
150	0.4997057339
151	0.4978259503
152	0.4969086436
153	0.4959504397
154	0.4949855226
155	0.4941401751
156	0.4939656518
157	0.4930602897
158	0.4919413144
159	0.4909730017
160	0.4899397574
161	0.4889121091
162	0.4882646898
163	0.487644031
164	0.4862729217
165	0.4855704221
166	0.4851639847
167	0.4847575572
168	0.4840893337
169	0.483756033
170	0.4827769915
171	0.4822362385
172	0.4812963782
173	0.4803372952
174	0.4796800183
175	0.4788002104
176	0.4776849845
177	0.4757579206
178	0.4746527482
179	0.4736994302
180	0.4727378163
181	0.4723178989
182	0.4713608059
183	0.4710713813
