iter	Passed	Remaining
0	12	12294
1	16	8165
2	20	6888
3	25	6269
4	29	5798
5	32	5329
6	35	4967
7	38	4758
8	41	4603
9	44	4422
10	48	4346
11	51	4211
12	53	4098
13	57	4023
14	60	3949
15	63	3894
16	66	3837
17	71	3894
18	74	3846
19	78	3836
20	80	3731
21	83	3702
22	87	3718
23	92	3773
24	99	3877
25	103	3893
26	107	3876
27	110	3845
28	113	3815
29	118	3827
30	122	3831
31	127	3869
32	132	3871
33	135	3849
34	139	3857
35	143	3846
36	147	3843
37	151	3828
38	155	3835
39	160	3847
40	163	3822
41	167	3821
42	170	3803
43	173	3775
44	177	3769
45	180	3749
46	186	3773
47	189	3749
48	192	3738
49	195	3716
50	200	3735
51	203	3710
52	207	3703
53	210	3681
54	213	3664
55	217	3660
56	220	3641
57	223	3633
58	226	3614
59	231	3628
60	234	3607
61	237	3599
62	240	3581
63	244	3569
64	247	3562
65	250	3546
66	253	3529
67	256	3510
68	259	3498
69	262	3483
70	265	3467
71	268	3454
72	270	3438
73	273	3426
74	276	3412
75	279	3395
76	282	3392
77	287	3396
78	292	3412
79	296	3411
80	299	3398
81	302	3386
82	305	3375
83	308	3364
84	311	3355
85	314	3342
86	317	3328
87	320	3320
88	323	3309
89	326	3299
90	329	3290
91	332	3278
92	335	3270
93	338	3259
94	341	3250
95	344	3241
96	347	3233
97	351	3235
98	354	3224
99	357	3217
100	360	3205
101	362	3195
102	366	3188
103	368	3177
104	372	3171
105	374	3160
106	377	3149
107	380	3143
108	383	3135
109	386	3129
110	389	3121
111	392	3112
112	395	3107
113	399	3102
114	402	3099
115	405	3090
116	408	3082
117	411	3074
118	414	3066
119	417	3059
120	419	3050
121	422	3042
122	425	3036
123	428	3028
124	431	3021
125	434	3013
126	436	3003
127	440	2998
128	443	2991
129	445	2984
130	449	2978
131	451	2970
132	454	2965
133	457	2957
134	460	2949
135	463	2943
136	466	2935
137	469	2931
138	472	2925
139	474	2917
140	477	2910
141	480	2903
142	483	2899
143	486	2894
144	489	2887
145	493	2883
146	495	2876
147	498	2869
148	501	2865
149	504	2859
150	507	2854
151	510	2848
152	513	2841
153	516	2837
154	519	2830
