iter	Passed	Remaining
0	8	8449
1	17	8510
2	22	7581
3	26	6564
4	32	6558
5	39	6561
6	50	7105
7	57	7122
8	137	15166
9	146	14468
10	166	14971
11	184	15185
12	231	17605
13	253	17832
14	263	17309
15	274	16895
16	299	17294
17	309	16874
18	322	16634
19	332	1620	420	365	1721	421	374	16638
22	384	1623	423	407	1624	498	19458
25	521	19535
26	536	19345
27	548	19026
28	528	516	17308
29	533	1730	645	20185
31	664	20107
32	708	20751
33	746	21210
34	757	20888
35	782	20945
36	794	20669
37	807	20436
38	822	20269
39	831	19958
40	846	19803
41	880	20093
42	891	19843
43	903	19637
44	913	19381
45	933	19359
46	944	19156
47	954	18939
48	965	18735
49	949	865	1650	996	18549
51	1004	18319
52	1019	18209
53	1050	18395
54	1131	19448
55	1147	19339
56	1157	19141
57	1164	18906
58	1171	18678
59	1178	18465660	1187	18275
61	1195	18084
62	1202	17879
63	1216	17796
64	1222	17591
65	1227	17370666	1233	17176667	1242	17029668	1248	16842669	1257	16708770	1263	16532771	1273	16415772	1280	16263773	1288	16121774	1294	15970775	1303	15853776	1311	15717777	1321	15619778	1329	1549779	1206	13869
80	1214	13780
81	1222	13684
82	1230	13600
83	1239	13516
84	1247	13426
85	1253	13325
86	1261	13238
87	1269	13152
88	1278	13084
89	1294	13088
90	1301	12997
91	1306	12896
992	1456	14204993	1472	14194994	1486	14159995	1494	14071996	1503	13997997	1511	13912998	1520	13837999	1528	137561100	1534	13662101	1409	12409
102	1435	12500
103	1445	12454
104	1451	12376
105	1460	12321
106	1478	12336
107	1486	12278
108	1553	12695
109	1596	12917
110	1617	12958
1111	1770	140371112	1785	140181113	1801	140041114	1818	139971115	1833	139691116	1844	139221117	1858	138941118	1866	138201119	1878	137721120	1885	136961121	1896	136481122	1904	135751123	1910	134961124	1915	134081125	1921	133271126	1926	132431127	1932	131631128	1938	130861129	1943	130041130	1950	129351131	1956	128661132	1962	127931133	1968	127201134	1974	126491135	1980	125811136	1988	125241137	1995	124641138	2001	123951139	2006	123261140	2011	122551141	2020	122051142	2026	121431143	2039	121231144	2048	12080
145	2056	12030
146	2065	11982
147	2073	11937148	1957	11177
149	1971	11173
1150	2137	12019151	2021	11275
1152	2168	120071153	2175	119521154	2183	119041155	2189	118461156	2195	117861157	2200	117241158	2206	116681159	2212	116171160	2219	115641161	2225	115131162	2233	114691163	2239	114141164	2251	113941165	2259	113511166	2265	113021167	2273	112571168	2283	112271169	2291	111901170	2300	111511171	2313	111341172	2330	111381173	2343	111261174	2351	110831175	2362	110591176	2368	110141177	2378	109851178	2384	109371179	2392	108971180	2398	108521181	2405	108101182	2411	107671183	2418	107261184	2425	106871185	2432	106451186	2440	106118187	2448	105188188	2456	10189	189	2461	1190	2190	2506	191	23191	2553	192	24192	2567	193	24193	2582	194	24194	2590	195	24195	2595	196	24196	2604	197	24197	2610198	247198	261199	2479199	26200	2485	200	2201	2492	9201	202	2498	98202203	2504	97720204	2509	97332205	2514	9691
206	2523	9666
207	2529	9631
208	2542	9621
209	2553	9604
210	2560	9572
211	2565	9536
212	2569	9494
213	2574	9455
214	2580	9420
215	2584	9381
216	2590	9347
217	2596	9312
218	2599	9271
219	2605	9236
220	2611	9203
221	2616	9168
222	2622	9138
223	2629	9108
224	2634	9073
225	2639	9039
226	2644	9004
227	2648	8967
228	2655	8940
229	2667	8929
230	2679	8921
231	2689	8903
232	2700	8891
233	2711	8875
234	2721	8859
235	2729	8835
236	2738235	28237	2747236	28238	2753237	28239	2762238	29240	2773239	29241	2781240	29242	2790241	29243	2799242	29244	2807	8652
245	2815244	29246	2823	8608
247	2831246	29248	2840	8567
249	2848248	29250	2856249	29251	2864250	30252	2872251	30253	2882	8465
254	2891	8446
255	2901	8433
256	2909	8411
257	2917	8390
258	2924	8367
259	2932	8345
260	2939	8322
261	2947	8303
262	2957	8288
263	2965	8268
264	2974	8250
265	2982	8230
266	2990	8209
267	2997	8185
268	3003	8162
269	3011	8142
270	3019	8121
271	3027	8102
272	3035	8082
273	3044	8065
274	3050	8042
275	3057	8021
276	3066	8004
277	3074	7984
278	3081	7962
279	3087	7938
280	3094	7919
281	3103	7901
282	3111	7882
283	3118	7863
284	3125	7841
285	3133	7823
286	3141	7804
287	3148	7784
288	3155	7764
289	3164	7747
290	3171	7726
291	3178	7707
292	3188	7693
293	3244	7790
294	3252	7772
295	3260	7755
296	3270	7740
297	3278	7724
298	3287	7706
299	3294	7686
300	3308	7683
301	3315	7662
302	3323	7645
303	3331	7626
304	3339	7608
305	3348	7593
306	3358	7581
307	3367	7565
308	3374	7547
309	3382	7528
310	3397	7526
311	3405	7510
312	3416	7499
313	3430	7493
314	3438	7478
315	3444	7456
316	3452	7439
317	3461	7423
318	3469	7406
319	3476	7387
320	3484	7369
321	3491	7351
322	3501	7338
323	3508	7320
324	3516	7303
325	3523	7284
326	3535	7275
327	3542	7257
328	3550	7241
329	3557	7223
330	3565	7206
331	3574	7192
332	3582	7174
333	3601	7181
334	3611	7169
335	3621	7155
336	3628	7138
337	3636	7123
338	3644	7105
339	3653	7092
340	3661	7076
341	3669	7059
342	3684	7058
343	3698	7053
344	3706	7037
345	3720	7032
346	3730	7019
347	3738	7003
348	3745	6987
349	3753	6970
350	3760	6953
351	3768	6936
352	3774	6918
353	3781	6900
354	3789	6884
355	3801	6876
356	3807	6858
357	3814	6841
358	3846	6867
359	3859	6860
360	3870	6851
361	3885	6848
362	3902	6848
363	3920	6849
364	3929	6836
365	3937	6821
366	3946	6806
367	3955	6792
368	3963	6777
369	3969	6758
370	3984	6755
371	3994	6742
372	4004	6731
373	4014	6719
374	4039	6732
375	4046	6716
376	4057	6705
377	4062	6684
378	4068	6665
379	4072	6644
380	4076	6623
381	4080	6601
382	4085	6581
383	4090	6561
384	4094	6540
385	4098	6519
386	4103	6500
387	4107	6479
388	4112	6459
389	4116	6439
390	4121	6419
391	4126	6399
392	4130	6380
393	4135	6360
394	4139	6340
395	4144	6321
396	4148	6301
397	4153	6282
398	4157	6263
399	4162	6243
400	4166	6223
401	4170	6203
402	4175	6184
403	4179	6165
404	4183	6146
405	4188	6128
406	4201	6121
407	4206	6103
408	4211	6085
409	4216	6066
410	4220	6048
411	4225	6030
412	4230	6012
413	4233	5992
414	4238	5974
415	4243	5956
416	4247	5938
417	4252	5920
418	4256	5901
419	4260	5883
420	4265	5865
421	4269	5848
422	4273	5829
423	4278	5811
424	4282	5794
425	4287	5776
426	4291	5758
427	4295	5740
428	4300	5723
429	4304	5705
430	4309	5688
431	4313	5671
432	4318	5654
433	4322	5637
434	4327	5620
435	4331	5603
436	4335	5586
437	4340	5569
438	4344	5552
439	4349	5535
440	4353	5518
441	4358	5501
442	4362	5485
443	4367	5468
444	4371	5451
445	4375	5434
446	4379	5418
447	4384	5401
448	4391	5389
449	4397	5375
450	4402	5358
451	4406	5342
452	4411	5326
453	4415	5310
454	4421	5295
455	4426	5280
456	4430	5264
457	4434	5248
458	4439	5232
459	4443	5216
460	4448	5201
461	4453	5185
462	4456	5169
463	4461	5153
464	4465	5137
465	4469	5122
466	4475	5107
467	4478	5091
468	4482	5075
469	4486	5059
470	4491	5044
471	4495	5028
472	4499	5013
473	4504	4998
474	4508	4983
475	4513	4969
476	4518	4953
477	4522	4938
478	4526	4923
479	4531	4908
480	4535	4894
481	4539	4878
482	4544	4864
483	4548	4849
484	4554	4836
485	4563	4826
486	4569	4813
487	4580	4805
488	4585	4791
489	4590	4777
490	4595	4763
491	4600	4750
492	4604	4735
493	4609	4721
494	4614	4707
495	4618	4692
496	4623	4679
497	4627	4664
498	4632	4651
499	4637	4637
500	4644	4625
501	4650	4613
502	4656	4600
503	4660	4586
504	4665	4573
505	4673	4562
506	4679	4550
507	4684	4536
508	4691	4525
509	4697	4513
510	4703	4501
511	4709	4488
512	4714	4475
513	4720	4463
514	4728	4452
515	4738	4444
516	4744	4432
517	4753	4422
518	4759	4411
519	4765	4398
520	4771	4387
521	4777	4375
522	4784	4363
523	4790	4351
524	4794	4337
525	4799	4325
526	4807	4314
527	4812	4301
528	4817	4289
529	4823	4277
530	4829	4265
531	4835	4254
532	4841	4241
533	4847	4230
534	4853	4218
535	4860	4207
536	4864	4194
537	4870	4182
538	4876	4170
539	4880	4157
540	4887	4146
541	4892	4134
542	4896	4121
543	4902	4109
544	4908	4097
545	4912	4084
546	4917	4072
547	4922	4060
548	4927	4048
549	4932	4035
550	4939	4025
551	4943	4012
552	4949	4000
553	4954	3988
554	4958	3976
555	4964	3964
556	4969	3952
557	4974	3940
558	4979	3928
559	4985	3916
560	4991	3906
561	4996	3893
562	5002	3882
563	5006	3870
564	5011	3858
565	5016	3846
566	5022	3835
567	5027	3823
568	5032	3812
569	5036	3799
570	5042	3788
571	5048	3777
572	5053	3765
573	5058	3753
574	5063	3742
575	5068	3730
576	5073	3719
577	5077	3706
578	5082	3695
579	5087	3684
580	5092	3672
581	5097	3660
582	5101	3649
583	5106	3637
584	5111	3626
585	5124	3620
586	5132	3610
587	5140	3602
588	5150	3594
589	5162	3587
590	5171	3578
591	5182	3571
592	5189	3561
593	5197	3552
594	5208	3544
595	5216	3535
596	5227	3528
597	5235	3519
598	5243	3510
599	5251	3501
600	5257	3490
601	5265	3481
602	5273	3471
603	5281	3462
604	5289	3453
605	5297	3444
606	5305	3434
607	5312	3425
608	5321	3416
609	5331	3408
610	5338	3398
611	5347	3390
612	5356	3381
613	5364	3372
614	5371	3362
615	5380	3353
616	5388	3345
617	5396	3335
618	5404	3326
619	5411	3316
